signature,file,startline,startcol,endline,endcol,properties
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getHostname()Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,520,5,520,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,530,5,532,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getHostnameOrIP()Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,543,5,543,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setSoWriteTimeout(I)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,560,5,560,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getSoWriteTimeout()I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,568,5,568,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setHandshakeTimeout(I)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,577,5,577,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,635,5,637,97,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setChannelIdEnabled(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,649,5,649,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getChannelId()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,662,5,662,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setChannelIdPrivateKey(Ljava/security/PrivateKey;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,677,5,677,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getNpnSelectedProtocol()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,684,5,684,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setNpnProtocols([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,694,5,694,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getAlpnSelectedProtocol()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,704,5,706,98,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLSocket%23getApplicationProtocol%28%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setAlpnProtocols([Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,717,5,720,108,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setAlpnProtocols([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,732,5,735,108,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->setApplicationProtocols([Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,744,5,747,108,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/AbstractConscryptSocket;->getApplicationProtocols()[Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/AbstractConscryptSocket.java,754,5,757,90,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23getApplicationProtocols%28%29%7D.%22
Lcom/android/org/conscrypt/ClientSessionContext;->setPersistentCache(Lcom/android/org/conscrypt/SSLClientSessionCache;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ClientSessionContext.java,55,5,56,33,
Lcom/android/org/conscrypt/ClientSessionContext;->getSession(Ljava/lang/String;I)Lcom/android/org/conscrypt/NativeSslSession;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ClientSessionContext.java,123,5,123,51,
Lcom/android/org/conscrypt/ConscryptEngineSocket;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptEngineSocket.java,380,5,382,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/ConscryptEngineSocket;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptEngineSocket.java,390,5,392,97,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/ConscryptFileDescriptorSocket;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptFileDescriptorSocket.java,788,5,790,97,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/ConscryptFileDescriptorSocket;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/ConscryptFileDescriptorSocket.java,803,5,805,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/FileClientSessionCache$Impl;->getSessionData(Ljava/lang/String;I)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/FileClientSessionCache.java,134,9,134,55,
Lcom/android/org/conscrypt/FileClientSessionCache;->usingDirectory(Ljava/io/File;)Lcom/android/org/conscrypt/SSLClientSessionCache;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/FileClientSessionCache.java,334,5,335,33,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_PKEY_new_RSA([B[B[B[B[B[B[B[B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,90,5,90,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_PKEY_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,100,5,100,51,
Lcom/android/org/conscrypt/NativeCrypto;->RSA_generate_key_ex(I[B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,120,5,120,51,
Lcom/android/org/conscrypt/NativeCrypto;->EC_GROUP_new_by_curve_name(Ljava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,160,5,160,51,
Lcom/android/org/conscrypt/NativeCrypto;->EC_GROUP_clear_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,170,5,170,51,
Lcom/android/org/conscrypt/NativeCrypto;->EC_POINT_clear_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,183,5,183,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_get_digestbyname(Ljava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,223,5,223,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_size(J)I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,226,5,226,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_CTX_create()J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,230,5,230,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_CTX_destroy(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,234,5,234,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_get_cipherbyname(Ljava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,305,5,305,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_CIPHER_iv_length(J)I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,317,5,317,51,
Lcom/android/org/conscrypt/NativeCrypto;->EVP_CIPHER_CTX_new()J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,320,5,320,51,
Lcom/android/org/conscrypt/NativeCrypto;->RAND_bytes([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,396,5,396,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509_bio(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,439,5,439,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509([B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,441,5,441,51,
Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_X509(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,444,5,444,51,
